Original_Index,Head,Tail,True_Relation,Model_Raw_Output,Parsed_Prediction
20,/m/05kjlr,/m/05fg2,/award/award_category/winners./award/award_honor/award_winner,**Predicted Relation:** /award/award_category/winners./award/award_honor/award_winner,/award/award_category/winners./award/award_honor/award_winner
21,/m/02q56mk,/m/09zzb8,/film/film/other_crew./film/film_crew_gig/film_crew_role,**Predicted Relation:** /film/film/other_crew./film/film_crew_gig/film_crew_role,/film/film/other_crew./film/film_crew_gig/film_crew_role
22,/m/01vmv_,/m/016xk5,/education/educational_institution/students_graduates./education/education/student,**Predicted Relation:** /education/educational_institution/students_graduates./education/education/student,/education/educational_institution/students_graduates./education/education/student
23,/m/063_t,/m/02hrh1q,/people/person/profession,**Predicted Relation:** /people/person/profession,/people/person/profession
24,/m/02b9g4,/m/0ckd1,/tv/tv_producer/programs_produced./tv/tv_producer_term/producer_type,**Predicted Relation:** /tv/tv_producer/programs_produced./tv/tv_producer_term/producer_type,/tv/tv_producer/programs_produced./tv/tv_producer_term/producer_type
25,/m/011j5x,/m/0l8g0,/music/genre/artists,**Predicted Relation:** /music/genre/artists,/music/genre/artists
26,/m/027ydt,/m/0325pb,/education/university/fraternities_and_sororities,**Predicted Relation:** /education/university/fraternities_and_sororities,/education/university/fraternities_and_sororities
27,/m/09v42sf,/m/0vgkd,/film/film/genre,**Predicted Relation:** /film/film/genre,/film/film/genre
28,/m/05zvj3m,/m/065zlr,/award/award_category/nominees./award/award_nomination/nominated_for,**Predicted Relation:** /award/award_nominee/award_nominations./award/award_nomination/nominated_for,/award/award_nominee/award_nominations./award/award_nomination/nominated_for
29,/m/0k5g9,/m/02cqbx,/film/film/costume_design_by,**Predicted Relation:** /film/film/costume_design_by,/film/film/costume_design_by
30,/m/05bt6j,/m/044mfr,/music/genre/artists,**Predicted Relation:** /music/genre/artists,/music/genre/artists
31,/m/04ztj,/m/0843m,/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony,**Predicted Relation:** /people/marriage/location_of_ceremony,/people/marriage/location_of_ceremony
32,/m/035w2k,/m/0ch6mp2,/film/film/other_crew./film/film_crew_gig/film_crew_role,**Predicted Relation:** /film/film/other_crew./film/film_crew_gig/film_crew_role,/film/film/other_crew./film/film_crew_gig/film_crew_role
33,/m/05kfs,/m/05f4m9q,/award/award_nominee/award_nominations./award/award_nomination/award,**Predicted Relation:** /award/award_nominee/award_nominations./award/award_nomination/nominated_for,/award/award_nominee/award_nominations./award/award_nomination/nominated_for
34,/m/01kf5lf,/m/02kdv5l,/film/film/genre,**Predicted Relation:** /film/film/genre,/film/film/genre
35,/m/057bc6m,/m/01wb95,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,**Predicted Relation:** /award/award_nominee/award_nominations./award/award_nomination/nominated_for,/award/award_nominee/award_nominations./award/award_nomination/nominated_for
36,/m/0pmhf,/m/076zy_g,/film/actor/film./film/performance/film,**Predicted Relation:** /film/actor/film,/film/actor/film
37,/m/05cl8y,/m/02vxn,/business/business_operation/industry,**Predicted Relation:** /business/business_operation/industry,/business/business_operation/industry
38,/m/04f6df0,/m/029j_,/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,**Predicted Relation:** /film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium
39,/m/02kcz,/m/0b6css,/organization/organization_member/member_of./organization/organization_membership/organization,**Predicted Relation:** /location/country/official_language,/location/country/official_language
40,/m/01qdmh,/m/09c7w0,/film/film/country,**Predicted Relation:** /film/film/country,/film/film/country
41,/m/05mv4,/m/0fdys,/education/educational_institution/students_graduates./education/education/major_field_of_study,**Predicted Relation:** /education/educational_institution/students_graduates./education/education/major_field_of_study,/education/educational_institution/students_graduates./education/education/major_field_of_study
42,/m/01f85k,/m/05r4w,/film/film/release_date_s./film/film_regional_release_date/film_release_region,**Predicted Relation:** /film/film/release_date_s./film/film_regional_release_date/film_release_region,/film/film/release_date_s./film/film_regional_release_date/film_release_region
43,/m/065ym0c,/m/01rbb,/film/film/genre,**Predicted Relation:** /film/film/genre,/film/film/genre
44,/m/03wjb7,/m/0l15bq,/music/artist/contribution./music/recording_contribution/performance_role,**Predicted Relation:** /music/artist/contribution./music/recording_contribution/performance_role,/music/artist/contribution./music/recording_contribution/performance_role
45,/m/0symg,/m/0m2l9,/film/film/music,**Predicted Relation:** /film/film/music,/film/film/music
46,/m/022fj_,/m/05fyss,/education/educational_institution/students_graduates./education/education/student,**Predicted Relation:** /education/educational_institution/students_graduates./education/education/institution,/education/educational_institution/students_graduates./education/education/institution
47,/m/05lb65,/m/030znt,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,**Predicted Relation:** /award/award_nominee/award_nominations./award/award_nomination/award,/award/award_nominee/award_nominations./award/award_nomination/award
48,/m/0gnbw,/m/07cbcy,/award/award_nominee/award_nominations./award/award_nomination/award,**Predicted Relation:** /award/award_nominee/award_nominations./award/award_nomination/nominated_for,/award/award_nominee/award_nominations./award/award_nomination/nominated_for
49,/m/033tf_,/m/06s6hs,/people/ethnicity/people,**Predicted Relation:** /people/ethnicity/people,/people/ethnicity/people
50,/m/03vrv9,/m/02ntb8,/film/actor/film./film/performance/film,**Predicted Relation:** /film/actor/film./film/performance/film,/film/actor/film./film/performance/film
51,/m/028tv0,/m/0394y,/music/performance_role/regular_performances./music/group_membership/group,**Predicted Relation:** /music/performance_role/regular_performances./music/group_membership/group,/music/performance_role/regular_performances./music/group_membership/group
52,/m/02snj9,/m/018vs,/music/performance_role/regular_performances./music/group_membership/role,**Predicted Relation:** /music/artist/track_contributions./music/track_contribution/role,/music/artist/track_contributions./music/track_contribution/role
53,/m/01vtmw6,/m/01bgqh,/award/award_nominee/award_nominations./award/award_nomination/award,**Predicted Relation:** /award/award_nominee/award_nominations./award/award_nomination/award,/award/award_nominee/award_nominations./award/award_nomination/award
54,/m/0mpbx,/m/02hcv8,/location/location/time_zones,**Predicted Relation:** /location/location/time_zones,/location/location/time_zones
55,/m/02wtp6,/m/07ssc,/film/film/release_date_s./film/film_regional_release_date/film_release_region,**Predicted Relation:** /film/film/country,/film/film/country
56,/m/02ldmw,/m/05qjc,/education/educational_institution/students_graduates./education/education/major_field_of_study,**Predicted Relation:** /education/educational_institution/students_graduates./education/education/major_field_of_study,/education/educational_institution/students_graduates./education/education/major_field_of_study
57,/m/0736qr,/m/04ztj,/people/person/spouse_s./people/marriage/type_of_union,**Predicted Relation:** /people/person/spouse_s./people/marriage/type_of_union,/people/person/spouse_s./people/marriage/type_of_union
58,/m/0bkj86,/m/037fqp,/education/educational_degree/people_with_this_degree./education/education/institution,**Predicted Relation:** /education/educational_institution/students_graduates./education/education/major_field_of_study,/education/educational_institution/students_graduates./education/education/major_field_of_study
59,/m/019f4v,/m/04cj79,/award/award_category/nominees./award/award_nomination/nominated_for,**Predicted Relation:** /award/award_category/nominees./award/award_nomination/nominated_for,/award/award_category/nominees./award/award_nomination/nominated_for
60,/m/0k611,/m/02jxbw,/award/award_category/nominees./award/award_nomination/nominated_for,**Predicted Relation:** /award/award_nominee/award_nominations./award/award_nomination/nominated_for,/award/award_nominee/award_nominations./award/award_nomination/nominated_for
61,/m/01gzm2,/m/0d8qb,/people/person/profession,**Predicted Relation:** /people/person/profession,/people/person/profession
62,/m/0407yfx,/m/047yc,/film/film/release_date_s./film/film_regional_release_date/film_release_region,**Predicted Relation:** /film/film/country,/film/film/country
63,/m/069_0y,/m/02jknp,/people/person/profession,**Predicted Relation:** /people/person/profession,/people/person/profession
64,/m/04ztj,/m/0d1y7,/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony,**Predicted Relation:** /people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony,/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony
65,/m/02nzb8,/m/07sqbl,/sports/sports_position/players./sports/sports_team_roster/team,**Predicted Relation:** /soccer/football_team/current_roster./soccer/football_roster_position/position,/soccer/football_team/current_roster./soccer/football_roster_position/position
66,/m/07qg8v,/m/0d05w3,/film/film/release_date_s./film/film_regional_release_date/film_release_region,**Predicted Relation:** /film/film/release_date_s./film/film_regional_release_date/film_release_region,/film/film/release_date_s./film/film_regional_release_date/film_release_region
67,/m/063_j5,/m/0dxtw,/film/film/other_crew./film/film_crew_gig/film_crew_role,**Predicted Relation:** /film/film/other_crew./film/film_crew_gig/film_crew_role,/film/film/other_crew./film/film_crew_gig/film_crew_role
68,/m/03xq0f,/m/02f6g5,/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film,**Predicted Relation:** /film/film_distributor/films_distributed./film/film_film_distributor_relationship/film,/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film
69,/m/025mb_,/m/0cqgl9,/award/award_nominee/award_nominations./award/award_nomination/award,**Predicted Relation:** /award/award_category/winners./award/award_honor/award_winner,/award/award_category/winners./award/award_honor/award_winner
70,/m/01cwm1,/m/083jv,/sports/sports_team/colors,**Predicted Relation:** /sports/sports_team/colors,/sports/sports_team/colors
71,/m/0blq0z,/m/0279c15,/award/award_nominee/award_nominations./award/award_nomination/award,**Predicted Relation:** /award/award_nominee/award_nominations./award/award_nomination/nominated_for,/award/award_nominee/award_nominations./award/award_nomination/nominated_for
72,/m/03q0r1,/m/0jgd,/film/film/release_date_s./film/film_regional_release_date/film_release_region,**Predicted Relation:** /film/film/release_date_s./film/film_regional_release_date/film_release_region,/film/film/release_date_s./film/film_regional_release_date/film_release_region
73,/m/014mlp,/m/027ydt,/education/educational_degree/people_with_this_degree./education/education/institution,**Predicted Relation:** /education/educational_institution/students_graduates./education/education/major_field_of_study,/education/educational_institution/students_graduates./education/education/major_field_of_study
74,/m/02x1dht,/m/017z49,/award/award_category/nominees./award/award_nomination/nominated_for,**Predicted Relation:** /award/award_nominee/award_nominations./award/award_nomination/nominated_for,/award/award_nominee/award_nominations./award/award_nomination/nominated_for
75,/m/0bl60p,/m/05zppz,/people/person/gender,**Predicted Relation:** /people/person/gender,/people/person/gender
76,/m/07szy,/m/037mh8,/education/educational_institution/students_graduates./education/education/major_field_of_study,**Predicted Relation:** /education/educational_institution/students_graduates./education/education/major_field_of_study,/education/educational_institution/students_graduates./education/education/major_field_of_study
77,/m/02p65p,/m/02x8n1n,/award/award_nominee/award_nominations./award/award_nomination/award,**Predicted Relation:** /award/award_nominee/award_nominations./award/award_nomination/nominated_for,/award/award_nominee/award_nominations./award/award_nomination/nominated_for
78,/m/06jcc,/m/0hky,/influence/influence_node/influenced_by,**Predicted Relation:** /people/person/profession,/people/person/profession
79,/m/0jdx,/m/018wl5,/location/country/form_of_government,**Predicted Relation:** /location/country/form_of_government,/location/country/form_of_government
80,/m/060c4,/m/02cttt,/organization/role/leaders./organization/leadership/organization,**Predicted Relation:** /government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office,/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office
81,/m/03yvf2,/m/03h64,/film/film/release_date_s./film/film_regional_release_date/film_release_region,**Predicted Relation:** /film/film/language,/film/film/language
82,/m/0gvvf4j,/m/03h64,/film/film/release_date_s./film/film_regional_release_date/film_release_region,**Predicted Relation:** /film/film/language,/film/film/language
83,/m/0jz9f,/m/0f4_l,/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film,**Predicted Relation:** /film/film_distributor/films_distributed./film/film_film_distributor_relationship/film,/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film
84,/m/04_j5s,/m/09nqf,/education/university/local_tuition./measurement_unit/dated_money_value/currency,**Predicted Relation:** /location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency,/location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency
85,/m/01f1r4,/m/04rjg,/education/educational_institution/students_graduates./education/education/major_field_of_study,**Predicted Relation:** /education/educational_institution/students_graduates./education/education/major_field_of_study,/education/educational_institution/students_graduates./education/education/major_field_of_study
86,/m/01shy7,/m/09zzb8,/film/film/other_crew./film/film_crew_gig/film_crew_role,**Predicted Relation:** /film/film/other_crew./film/film_crew_gig/film_crew_role,/film/film/other_crew./film/film_crew_gig/film_crew_role
87,/m/06x76,/m/01g5v,/sports/sports_team/colors,**Predicted Relation:** /sports/sports_team/colors,/sports/sports_team/colors
88,/m/019v9k,/m/02lp1,/education/educational_degree/people_with_this_degree./education/education/major_field_of_study,**Predicted Relation:** /education/educational_degree/people_with_this_degree./education/education/major_field_of_study,/education/educational_degree/people_with_this_degree./education/education/major_field_of_study
89,/m/06g2d1,/m/09c7w0,/people/person/nationality,**Predicted Relation:** /people/person/nationality,/people/person/nationality
90,/m/0qcr0,/m/02wb6d,/people/cause_of_death/people,**Predicted Relation:** /film/film/music,/film/film/music
91,/m/01yhvv,/m/016xh5,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,**Predicted Relation:** /award/award_nominee/award_nominations./award/award_nomination/award_nominee,/award/award_nominee/award_nominations./award/award_nomination/award_nominee
92,/m/03fbb6,/m/02wwmhc,/film/actor/film./film/performance/film,**Predicted Relation:** /film/actor/film./film/performance/film,/film/actor/film./film/performance/film
93,/m/05q4y12,/m/01znc_,/film/film/release_date_s./film/film_regional_release_date/film_release_region,**Predicted Relation:** /film/film/release_date_s./film/film_regional_release_date/film_release_region,/film/film/release_date_s./film/film_regional_release_date/film_release_region
94,/m/015xp4,/m/04ztj,/people/person/spouse_s./people/marriage/type_of_union,**Predicted Relation:** /people/person/spouse_s./people/marriage/location_of_ceremony,/people/person/spouse_s./people/marriage/location_of_ceremony
95,/m/01w_10,/m/02zsn,/people/person/gender,**Predicted Relation:** /people/person/gender,/people/person/gender
96,/m/03krj,/m/087vz,/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,**Predicted Relation:** /olympics/olympic_participating_country/athletes./olympics/olympic_athlete_affiliation/olympics,/olympics/olympic_participating_country/athletes./olympics/olympic_athlete_affiliation/olympics
97,/m/04qr6d,/m/01c72t,/people/person/profession,**Predicted Relation:** /people/person/profession,/people/person/profession
98,/m/03y5ky,/m/01l849,/education/educational_institution/colors,**Predicted Relation:** /education/educational_institution/colors,/education/educational_institution/colors
99,/m/04xvlr,/m/04yg13l,/media_common/netflix_genre/titles,**Predicted Relation:** /film/film/genre,/film/film/genre
100,/m/0vkl2,/m/07tf8,/education/educational_institution/school_type,**Predicted Relation:** /education/educational_institution/school_type,/education/educational_institution/school_type
101,/m/06gn7r,/m/05zppz,/people/person/gender,**Predicted Relation:** /people/person/gender,/people/person/gender
102,/m/01w9wwg,/m/056xkh,/film/actor/film./film/performance/film,**Predicted Relation:** /film/actor/film./film/performance/film,/film/actor/film./film/performance/film
103,/m/0cqt90,/m/04ztj,/people/person/spouse_s./people/marriage/type_of_union,**Predicted Relation:** /people/person/spouse_s./people/marriage/type_of_union,/people/person/spouse_s./people/marriage/type_of_union
104,/m/05bpg3,/m/0b7l4x,/film/actor/film./film/performance/film,**Predicted Relation:** /film/actor/film./film/performance/film,/film/actor/film./film/performance/film
105,/m/05cv8,/m/07lp1,/influence/influence_node/influenced_by,**Predicted Relation:** /people/person/profession,/people/person/profession
106,/m/0kftt,/m/0bdwft,/award/award_nominee/award_nominations./award/award_nomination/award,**Predicted Relation:** /award/award_nominee/award_nominations./award/award_nomination/award,/award/award_nominee/award_nominations./award/award_nomination/award
107,/m/027gy0k,/m/03ktjq,/film/film/produced_by,**Predicted Relation:** /film/film/produced_by,/film/film/produced_by
108,/m/01fsv9,/m/055c8,/education/educational_institution/students_graduates./education/education/student,**Predicted Relation:** /location/location/contains,/location/location/contains
109,/m/0kz10,/m/07gxw,/music/genre/parent_genre,**Predicted Relation:** /music/genre/parent_genre,/music/genre/parent_genre
110,/m/02ppm4q,/m/0gmgwnv,/award/award_category/nominees./award/award_nomination/nominated_for,**Predicted Relation:** /award/award_nominee/award_nominations./award/award_nomination/nominated_for,/award/award_nominee/award_nominations./award/award_nomination/nominated_for
111,/m/04fjzv,/m/07ssc,/film/film/release_date_s./film/film_regional_release_date/film_release_region,**Predicted Relation:** /film/film/country,/film/film/country
112,/m/05zksls,/m/063ykwt,/award/award_ceremony/awards_presented./award/award_honor/honored_for,**Predicted Relation:** /award/award_nominee/award_nominations./award/award_nomination/nominated_for,/award/award_nominee/award_nominations./award/award_nomination/nominated_for
113,/m/044mfr,/m/042v_gx,/music/artist/track_contributions./music/track_contribution/role,**Predicted Relation:** /music/instrument/instrumentalists,/music/instrument/instrumentalists
114,/m/019ltg,/m/02vx4,/sports/sports_team/sport,**Predicted Relation:** /sports/sports_team/sport,/sports/sports_team/sport
115,/m/0fq9zcx,/m/089j8p,/award/award_category/nominees./award/award_nomination/nominated_for,**Predicted Relation:** /award/award_winning_work/awards_won./award/award_honor/award_winner,/award/award_winning_work/awards_won./award/award_honor/award_winner
116,/m/01bgqh,/m/02rjjll,/award/award_category/winners./award/award_honor/ceremony,**Predicted Relation:** /award/award_category/winners./award/award_honor/ceremony,/award/award_category/winners./award/award_honor/ceremony
117,/m/01nbq4,/m/015cjr,/people/person/profession,**Predicted Relation:** /people/person/profession,/people/person/profession
118,/m/08qnnv,/m/029g_vk,/education/educational_institution/students_graduates./education/education/major_field_of_study,**Predicted Relation:** /education/educational_degree/people_with_this_degree./education/education/major_field_of_study,/education/educational_degree/people_with_this_degree./education/education/major_field_of_study
119,/m/0f8j13,/m/05p553,/film/film/genre,**Predicted Relation:** /film/film/genre,/film/film/genre
120,/m/03hl6lc,/m/047d21r,/award/award_category/nominees./award/award_nomination/nominated_for,**Predicted Relation:** /award/award_nominated_work/award_nominations./award/award_nomination/nominated_for,/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for
121,/m/06w2sn5,/m/0661m4p,/film/actor/film./film/performance/film,**Predicted Relation:** /film/actor/film./film/performance/film,/film/actor/film./film/performance/film
122,/m/06fvc,/m/019sc,/dataworld/gardening_hint/split_to,**Predicted Relation:** /sports/sports_team/colors,/sports/sports_team/colors
123,/m/03l2n,/m/0jbk9,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,**Predicted Relation:** /location/hud_county_place/county,/location/hud_county_place/county
124,/m/085h1,/m/034m8,/user/ktrueman/default_domain/international_organization/member_states,**Predicted Relation:** /user/ktrueman/default_domain/international_organization/member_states,/user/ktrueman/default_domain/international_organization/member_states
125,/m/031x_3,/m/09jwl,/people/person/profession,**Predicted Relation:** /people/person/profession,/people/person/profession
126,/m/01hmnh,/m/0gj8nq2,/media_common/netflix_genre/titles,**Predicted Relation:** /film/film/genre,/film/film/genre
127,/m/0gffmn8,/m/0bjv6,/film/film/release_date_s./film/film_regional_release_date/film_release_region,**Predicted Relation:** /film/film/release_date_s./film/film_regional_release_date/film_release_region,/film/film/release_date_s./film/film_regional_release_date/film_release_region
128,/m/028k57,/m/01xvjb,/film/actor/film./film/performance/film,**Predicted Relation:** /film/actor/film./film/performance/film,/film/actor/film./film/performance/film
129,/m/0fkzq,/m/03v1s,/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office,**Predicted Relation:** /government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office,/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office
130,/m/0kjrx,/m/05p09zm,/award/award_nominee/award_nominations./award/award_nomination/award,**Predicted Relation:** /award/award_nominee/award_nominations./award/award_nomination/nominated_for,/award/award_nominee/award_nominations./award/award_nomination/nominated_for
131,/m/01rwcgb,/m/0dz3r,/people/person/profession,**Predicted Relation:** /people/person/profession,/people/person/profession
132,/m/0gs9p,/m/049xgc,/award/award_category/nominees./award/award_nomination/nominated_for,**Predicted Relation:** /award/award_nominee/award_nominations./award/award_nomination/nominated_for,/award/award_nominee/award_nominations./award/award_nomination/nominated_for
133,/m/05qbbfb,/m/02kdv5l,/film/film/genre,**Predicted Relation:** /film/film/genre,/film/film/genre
134,/m/01chpn,/m/02h40lc,/film/film/language,**Predicted Relation:** /film/film/language,/film/film/language
135,/m/01dvbd,/m/029j_,/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,**Predicted Relation:** /film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium
136,/m/0l2lk,/m/09nqf,/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency,**Predicted Relation:** /location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency,/location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency
137,/m/0f4x7,/m/011ypx,/award/award_category/nominees./award/award_nomination/nominated_for,**Predicted Relation:** /award/award_category/nominees./award/award_nomination/nominated_for,/award/award_category/nominees./award/award_nomination/nominated_for
138,/m/0h3y,/m/02llzg,/location/location/time_zones,**Predicted Relation:** /location/statistical_region/places_exported_to./location/imports_and_exports/exported_to,/location/statistical_region/places_exported_to./location/imports_and_exports/exported_to
139,/m/0pdp8,/m/01pvkk,/film/film/other_crew./film/film_crew_gig/film_crew_role,**Predicted Relation:** /film/film/other_crew./film/film_crew_gig/film_crew_role,/film/film/other_crew./film/film_crew_gig/film_crew_role
140,/m/0dgq80b,/m/02h40lc,/film/film/language,**Predicted Relation:** /film/film/language,/film/film/language
141,/m/02knxx,/m/012c6x,/people/cause_of_death/people,**Predicted Relation:** /people/person/profession,/people/person/profession
142,/m/02bj6k,/m/0180mw,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,**Predicted Relation:** /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor
143,/m/065ym0c,/m/029j_,/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,**Predicted Relation:** /film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium
144,/m/02bn_p,/m/081yw,/government/legislative_session/members./government/government_position_held/district_represented,**Predicted Relation:** /government/legislative_session/members./government/government_position_held/district_represented,/government/legislative_session/members./government/government_position_held/district_represented
145,/m/038723,/m/01wk7b7,/people/ethnicity/people,**Predicted Relation:** /people/ethnicity/people,/people/ethnicity/people
146,/m/0275_pj,/m/02q1tc5,/award/award_nominee/award_nominations./award/award_nomination/award,**Predicted Relation:** /award/award_nominee/award_nominations./award/award_nomination/nominated_for,/award/award_nominee/award_nominations./award/award_nomination/nominated_for
147,/m/06jnvs,/m/039cq4,/tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program,**Predicted Relation:** /tv/tv_program/program_creator,/tv/tv_program/program_creator
148,/m/0fsm8c,/m/08052t3,/film/actor/film./film/performance/film,**Predicted Relation:** /film/actor/film,/film/actor/film
149,/m/0crd8q6,/m/01vx2h,/film/film/other_crew./film/film_crew_gig/film_crew_role,**Predicted Relation:** /film/film/visual_effects_by,/film/film/visual_effects_by
150,/m/01l03w2,/m/09jwl,/people/person/profession,**Predicted Relation:** /people/person/profession,/people/person/profession
151,/m/01dyk8,/m/04x_3,/education/educational_institution/students_graduates./education/education/major_field_of_study,**Predicted Relation:** /education/educational_institution/students_graduates./education/education/major_field_of_study,/education/educational_institution/students_graduates./education/education/major_field_of_study
152,/m/01c4_6,/m/0137g1,/award/award_category/winners./award/award_honor/award_winner,**Predicted Relation:** /award/award_nominee/award_nominations./award/award_nomination/award,/award/award_nominee/award_nominations./award/award_nomination/award
153,/m/04bs3j,/m/09qvf4,/award/award_nominee/award_nominations./award/award_nomination/award,**Predicted Relation:** /award/award_nominee/award_nominations./award/award_nomination/nominated_for,/award/award_nominee/award_nominations./award/award_nomination/nominated_for
154,/m/06ch55,/m/04zwjd,/music/instrument/instrumentalists,**Predicted Relation:** /music/genre/artists,/music/genre/artists
155,/m/01mpwj,/m/0bwx3,/education/educational_institution/students_graduates./education/education/student,**Predicted Relation:** /education/educational_institution/students_graduates./education/education/student,/education/educational_institution/students_graduates./education/education/student
156,/m/04x56,/m/0g5ff,/influence/influence_node/influenced_by,**Predicted Relation:** /influence/influence_node/influenced_by,/influence/influence_node/influenced_by
157,/m/05tbn,/m/013ksx,/location/location/contains,**Predicted Relation:** /location/location/contains,/location/location/contains
