Head,Tail,True_Relation,Model_Output
swiss mountain pine,true pine,_hypernym,is-a
androgenous,hermaphroditism,_derivationally_related_form,similar-to
folk music,popular music genre,_hypernym,is-a
morocco,moroccan,_derivationally_related_form,pertains-to
kam-tai,sino-tibetan language,_hypernym,is-a
scholar,soul,_hypernym,No direct lexical relation
emerge,emersion,_derivationally_related_form,derived-from
wheeled vehicle,axle,_has_part,part-of
restore,reinstatement,_derivationally_related_form,derived-from
cinnamon,cinnamon bark,_has_part,part-of
stabilizer,surface,_hypernym,part-of
unfriendliness,unfriendly,_derivationally_related_form,derived-from
watch,seer,_derivationally_related_form,similar-to
sculpture,artistic production,_hypernym,is-a
longness,length,_hypernym,is-a
symbolizing,typify,_derivationally_related_form,similar-to
heterokontae,class,_hypernym,is-a
participation,involve,_derivationally_related_form,similar-to
inventor,unapologetic,_derivationally_related_form,No direct lexical relation
fortress,crenellation,_has_part,part-of
subsidiarity,lower status,_hypernym,is-a
subjugate,master,_hypernym,is-a
sense,sagacity,_hypernym,similar-to
qualifying,qualify,_derivationally_related_form,derived-from
linden tree,tree,_hypernym,is-a
reform,reform,_derivationally_related_form,similar-to
plantae,division bryophyta,_member_meronym,is-a
initiate,tyro,_derivationally_related_form,is-a
intractableness,trait,_hypernym,is-a
interaction,action,_hypernym,is-a
orate,talk,_hypernym,similar-to
sucker punch,slug,_hypernym,similar-to
refreshen,freshener,_derivationally_related_form,derived-from
australian alps,range of mountains,_instance_hypernym,is-a
paddler,canoe,_derivationally_related_form,part-of
regimentals,military uniform,_hypernym,is-a
pirouette,concert dance,_synset_domain_topic_of,is-a
subfamily papilionoideae,macrotyloma,_member_meronym,is-a
topper,transcend,_derivationally_related_form,derived-from
stain,grease,_derivationally_related_form,"""part-of"""
layer,layer,_derivationally_related_form,similar-to
trade,shell out,_also_see,entails
family clupeidae,genus clupea,_member_meronym,is-a
make,form,_derivationally_related_form,similar-to
synchronize,synchrony,_derivationally_related_form,derived-from
wood warbler,warbler,_hypernym,is-a
nansen,statesman,_instance_hypernym,is-a
hold,confinement,_hypernym,part-of
flare,flare,_derivationally_related_form,similar-to
investigation,investigate,_derivationally_related_form,derived-from
solanaceae,hyoscyamus,_member_meronym,is-a
teasing,combing,_hypernym,similar-to
zambia,zambezi river,_has_part,part-of
lining,line,_derivationally_related_form,derived-from
united mexican states,tampico,_has_part,part-of
spongillafly,neuropterous insect,_hypernym,is-a
viverrinae,genus fossa,_member_meronym,is-a
italic,running hand,_hypernym,similar-to
elect,voter,_derivationally_related_form,agent-of
rectum,body part,_hypernym,part-of
parasympathetic nervous system,systema nervosum,_hypernym,part-of
declamation,oratory,_hypernym,is-a
hirsute,hirsutism,_derivationally_related_form,derived-from
turnout,rotation,_hypernym,similar-to
academy,secondary school,_hypernym,is-a
internal-combustion engine,self-starter,_has_part,part-of
transylvanian alps,range of mountains,_instance_hypernym,is-a
feverish,pyrexia,_derivationally_related_form,similar-to
oxidize,oxidize,_verb_group,synonym
trade name,valium,_member_of_domain_usage,is-a
touching,touch,_derivationally_related_form,derived-from
extraction,extract,_derivationally_related_form,derived-from
game,activity,_hypernym,is-a
marne river,pitched battle,_instance_hypernym,related-to
turn,husbandry,_synset_domain_topic_of,"There is no direct lexical relation between ""turn"" and ""husbandry"" in the context of WordNet."
give out,emission,_derivationally_related_form,is-a
waggle,waggle,_derivationally_related_form,synonym
get rid of,liquidation,_derivationally_related_form,is-a
righteousness,morality,_hypernym,is-a
seal,sealer,_derivationally_related_form,derived-from
devalue,devaluation,_derivationally_related_form,derived-from
mustelidae,taxidea,_member_meronym,is-a
parthenocissus,woodbine,_member_meronym,is-a
agent,cause,_hypernym,is-a
subdivision deuteromycotina,order mycelia sterilia,_member_meronym,part-of
veratrum,hellebore,_member_meronym,is-a
earth science,natural science,_hypernym,is-a
utah,tabernacle,_has_part,part-of
dicker,talk terms,_hypernym,synonym
genus brachychiton,bottle tree,_member_meronym,is-a
statice,suffrutex,_hypernym,is-a
gramma grass,grass,_hypernym,is-a
lacing,cord,_hypernym,part-of
compartmentalization,relegate,_derivationally_related_form,derived-from
family caryocaraceae,dilleniid dicot family,_hypernym,is-a
swastika,tetraskelion,_hypernym,similar-to
war machine,medical officer,_member_meronym,"There is no direct lexical relation between ""war machine"" and ""medical officer"" in the context of WordNet. However, if considering broader contexts, one might infer a ""part-of"" relation, as a medical officer can be part of a war"
understand,understanding,_derivationally_related_form,derived-from
study,study,_derivationally_related_form,synonym
straight person,soul,_hypernym,"There is no direct lexical relation between ""straight person"" and ""soul"" in the context of WordNet."
honshu,toyota,_has_part,part-of
naturalization,law,_synset_domain_topic_of,is-a
lambertia,mountain devil,_member_meronym,is-a
ordered,logical,_also_see,similar-to
ordain,decree,_hypernym,similar-to
prevarication,tergiversate,_derivationally_related_form,similar-to
human gamma globulin,globulin,_hypernym,is-a
profundity,wisdom,_hypernym,is-a
unit of measurement,unitize,_derivationally_related_form,derived-from
tsuga,gymnosperm genus,_hypernym,is-a
stop,prevent,_hypernym,similar-to
ford,water,_hypernym,part-of
pretend,pretend,_derivationally_related_form,synonym
suddenness,precipitation,_hypernym,is-a
uplift,intoxication,_derivationally_related_form,similar-to
compound,compounding,_derivationally_related_form,derived-from
invigilator,proctor,_derivationally_related_form,similar-to
spermatophyta,division,_hypernym,is-a
admix,mix,_hypernym,similar-to
family accipitridae,gyps,_member_meronym,is-a
destalinization,destalinize,_derivationally_related_form,derived-from
flap,fluttering,_derivationally_related_form,similar-to
phenylacetamide,painkiller,_hypernym,derived-from
male reproductive system,spermatozoon,_has_part,part-of
gallop,riding,_synset_domain_topic_of,part-of
right fielder,rightfield,_derivationally_related_form,is-a
catabolize,katabolism,_derivationally_related_form,derived-from
obfuscate,modify,_hypernym,similar-to
publish,printer,_derivationally_related_form,agent
pansexual,soul,_hypernym,"WordNet does not directly define a relationship between ""pansexual"" and ""soul"" as they belong to different semantic categories. ""Pansexual"" is related to sexual orientation, while ""soul"" is related to spirituality or essence. Therefore,"
apeldoorn,urban center,_instance_hypernym,is-a
yearn,yen,_derivationally_related_form,similar-to
family elaeocarpaceae,genus aristotelia,_member_meronym,is-a
zip,excite,_derivationally_related_form,similar-to
family cynipidae,arthropod family,_hypernym,is-a
genus calochortus,liliid monocot genus,_hypernym,is-a
gum,transude,_hypernym,No direct relation
ordain,ordainer,_derivationally_related_form,agent-of
true pepper,vine,_hypernym,part-of
mire,slack,_derivationally_related_form,similar-to
isn,international intelligence agency,_hypernym,is-a
order apodes,muraenidae,_member_meronym,is-a
ziphiidae,hyperoodon,_member_meronym,is-a
name,namer,_derivationally_related_form,agent-noun
checkout,watch,_derivationally_related_form,is-a
conclude,terminate,_hypernym,similar-to
treater,talk terms,_derivationally_related_form,No direct relation
resect,resection,_derivationally_related_form,derived-from
supplement,element,_hypernym,part-of
genus felis,puma,_member_meronym,is-a
back,finance,_hypernym,No direct lexical relation
lansing,state capital,_instance_hypernym,is-a
nicker seed,seed,_hypernym,is-a
subclass cirripedia,cirripede,_member_meronym,is-a
prussia,geographical region,_instance_hypernym,part-of
parula warbler,wood warbler,_hypernym,similar-to
stipple,mottle,_hypernym,similar-to
loosening,untie,_derivationally_related_form,similar-to
shaft,passageway,_hypernym,part-of
construct,thought,_hypernym,derived-from
visual communication,visual signal,_has_part,is-a
systema respiratorium,respiratory organ,_has_part,part-of
legal expert,legal philosophy,_derivationally_related_form,related-to
divergency,separation,_hypernym,similar-to
giuseppe balsamo,wizard,_instance_hypernym,is-a
genus tyrannosaurus,tyrannosaurus rex,_member_meronym,is-a
vote,voter,_derivationally_related_form,agent-of
inculpation,fault,_derivationally_related_form,is-a
gregory xii,vicar of christ,_instance_hypernym,is-a
out-herod,surpass,_hypernym,similar-to
flaunt,swank,_derivationally_related_form,similar-to
progne,bird genus,_hypernym,is-a
electrify,turn on,_hypernym,similar-to
gymnastic apparatus,work out,_derivationally_related_form,used-for
family cupressaceae,taxodium,_member_meronym,is-a
urban viii,vicar of christ,_instance_hypernym,is-a
pteridaceae,genus doryopteris,_member_meronym,is-a
think,thought,_derivationally_related_form,derived-from
plication,twist,_derivationally_related_form,similar-to
think,think,_derivationally_related_form,synonym
respond,response,_derivationally_related_form,derived-from
sino-tibetan language,tongue,_hypernym,is-a
pulverize,disintegrate,_hypernym,similar-to
objurgate,upbraiding,_derivationally_related_form,similar-to
reality,physicalness,_hypernym,is-a
check,check,_derivationally_related_form,similar-to
programme,programme,_derivationally_related_form,similar-to
arbor,arborize,_derivationally_related_form,derived-from
council,christianity,_synset_domain_topic_of,part-of
communication,communicate,_derivationally_related_form,Derived-from
rede,advisee,_derivationally_related_form,is-a
fringe,ornament,_hypernym,part-of
fish,fish,_derivationally_related_form,synonym
squabble,niggler,_derivationally_related_form,similar-to
married,soul,_hypernym,"There is no direct lexical relation between ""married"" and ""soul"" in WordNet."
decoration,dress,_derivationally_related_form,part-of
suppress,subjugation,_derivationally_related_form,derived-from
joyous,joyousness,_derivationally_related_form,derived-from
north platte river,river,_instance_hypernym,is-a
remaking,creation,_hypernym,is-a
leyden,urban center,_instance_hypernym,is-a
cecum,cavum,_hypernym,part-of
reference,source,_derivationally_related_form,derived-from
tadarida,mammal genus,_hypernym,is-a
truth,women's rightist,_instance_hypernym,"There is no direct lexical relation between ""truth"" and ""women's rightist"" in the context of WordNet."
squish,trudge,_hypernym,"There is no direct lexical relation between ""squish"" and ""trudge"" in WordNet."
lump,juxtaposition,_derivationally_related_form,"There is no direct lexical relation between ""lump"" and ""juxtaposition"" in WordNet."
item,recite,_derivationally_related_form,No direct lexical relation
indorse,enfranchisement,_derivationally_related_form,No direct relation
marsilea,fern genus,_hypernym,is-a
parabolic geometry,geometry,_hypernym,is-a
spiny lobster,lobster,_hypernym,is-a
take for granted,presumption,_derivationally_related_form,similar-to
timaliidae,bird family,_hypernym,is-a
keep,safekeeping,_derivationally_related_form,derived-from
total,quantity,_derivationally_related_form,is-a
seriola,fish genus,_hypernym,is-a
clear,universally,_verb_group,"The concepts ""clear"" and ""universally"" do not have a direct lexical relation in WordNet. However, if we consider their meanings, ""universally"" can imply a broad or widespread application, which can be related to the clarity of understanding"
south american poison toad,toad frog,_hypernym,is-a
usa,show me state,_has_part,part-of
prunus,prunus armeniaca,_member_meronym,is-a
sunglasses,polaroid,_has_part,"""derived-from"""
traveller,travel,_derivationally_related_form,agent-of
productive,originative,_also_see,similar-to
outpouring,bombard,_derivationally_related_form,similar-to
genus artocarpus,marang tree,_member_meronym,is-a
segregate,soul,_hypernym,No direct relation
drinker,imbibe,_derivationally_related_form,agent-of
noncompliance,disobey,_derivationally_related_form,derived-from
compartmentalization,categorize,_derivationally_related_form,similar-to
light up,light,_derivationally_related_form,derived-from
shiah islam,sect,_hypernym,is-a
rhinencephalon,pyriform lobe,_has_part,part-of
liquidation,waste,_derivationally_related_form,derived-from
zion,fatah,_member_of_domain_region,No direct relation
bioweapon,wmd,_hypernym,is-a
mechanical system,system,_hypernym,is-a
forge,forgery,_derivationally_related_form,derived-from
capable,potentiality,_derivationally_related_form,has-quality-of
eugene,urban center,_instance_hypernym,is-a
naive,credulous,_also_see,similar-to
najas,monocot genus,_hypernym,is-a
reception,receptionist,_derivationally_related_form,part-of
start up,start,_derivationally_related_form,derived-from
waterspout,souse,_derivationally_related_form,No direct lexical relation
clinch,seize,_hypernym,similar-to
untrusty,dishonorable,_also_see,similar-to
newark,urban center,_instance_hypernym,is-a
schematize,scheme,_derivationally_related_form,derived-from
expose,exposure,_derivationally_related_form,derived-from
class ascomycetes,morchellaceae,_member_meronym,is-a
everlasting flower,composite plant,_hypernym,is-a
movement,change,_hypernym,is-a
united kingdom of great britain and northern ireland,redcap,_member_of_domain_region,part-of
lowering,turn down,_derivationally_related_form,similar-to
collectible,rarity,_hypernym,is-a
scooter,wheeled vehicle,_hypernym,is-a
suborder anthropoidea,superfamily platyrrhini,_member_meronym,is-a
vena iliaca,venous blood vessel,_hypernym,is-a
blood,vertebrate,_synset_domain_topic_of,part-of
ophiodontidae,fish family,_hypernym,is-a
firepower,war machine,_synset_domain_topic_of,part-of
haematopus,oystercatcher,_member_meronym,is-a
micron,metric linear unit,_hypernym,is-a
reliever,twirler,_hypernym,is-a
close,shutdown,_derivationally_related_form,similar-to
speckled trout,trout,_hypernym,is-a
neoclassicism,liberal arts,_hypernym,is-a
melophagus,arthropod genus,_hypernym,is-a
surprise,surprise,_derivationally_related_form,similar-to
nij,law enforcement agency,_hypernym,is-a
thalmencephalon,hypothalamus,_has_part,part-of
fudge,confect,_hypernym,is-a
nail,attach,_hypernym,used-for
john l. h. down,physician,_instance_hypernym,is-a
catchphrase,slogan,_hypernym,similar-to
sensitize,modify,_hypernym,entails
presentment,stage,_derivationally_related_form,is-a
madras,urban center,_instance_hypernym,is-a
building material,artifact,_hypernym,is-a
friendly,friendliness,_derivationally_related_form,derived-from
flying lizard,agamid lizard,_hypernym,is-a
potman,employee,_hypernym,is-a
violate,breach,_derivationally_related_form,similar-to
mash,masher,_derivationally_related_form,derived-from
distill,change,_hypernym,derived-from
ring,mobster,_derivationally_related_form,part-of
boundary condition,stipulation,_hypernym,similar-to
promise,soothsayer,_derivationally_related_form,No direct lexical relation
unsoundness,status,_hypernym,is-a
press,pressure,_derivationally_related_form,derived-from
cannula,intubate,_derivationally_related_form,used-for
throw,puzzlement,_derivationally_related_form,No direct lexical relation
crooner,lay,_derivationally_related_form,is-a
tarrietia,dilleniid dicot genus,_hypernym,is-a
politics,social science,_hypernym,is-a
fluctuate,move,_hypernym,is-a
run,run,_derivationally_related_form,similar-to
genus dacrydium,tarwood,_member_meronym,is-a
regiomontanus,mathematician,_instance_hypernym,is-a
slope,slope,_derivationally_related_form,similar-to
selector switch,wiper arm,_has_part,part-of
tramp,sport,_synset_domain_topic_of,"There is no direct lexical relation between ""tramp"" and ""sport"" in WordNet. However, if we consider broader contexts, ""tramp"" can be associated with ""sport"" through activities like hiking or walking, which can be considered a"
run,turn tail,_also_see,similar-to
anticipator,forestall,_derivationally_related_form,similar-to
stavanger,port,_instance_hypernym,part-of
genus elops,fish genus,_hypernym,is-a
literary work,written material,_hypernym,is-a
vocalizer,sing,_derivationally_related_form,is-a
genus agaricus,fungus genus,_hypernym,is-a
nagoya,urban center,_instance_hypernym,is-a
libel,sully,_hypernym,causes
european union,kingdom of denmark,_member_meronym,part-of
deep south,ms,_has_part,part-of
family dasypodidae,genus cabassous,_member_meronym,is-a
take down,degradation,_derivationally_related_form,causes
rehearsal,recitation,_hypernym,similar-to
mask,masquerade party,_derivationally_related_form,part-of
crack,modify,_hypernym,derived-from
umbilical cord,funiculus,_hypernym,part-of
conform,conformity,_derivationally_related_form,derived-from
nutrition,nutritionary,_derivationally_related_form,similar-to
embrace,espousal,_hypernym,similar-to
bed,bed,_derivationally_related_form,synonym
sympathize,sympathy,_derivationally_related_form,derived-from
screen,protective covering,_hypernym,part-of
hizb ut-tahrir,terrorist act,_synset_domain_topic_of,is-a
genus homo,homo sapiens,_member_meronym,is-a
fugacity,plant life,_synset_domain_topic_of,No direct relation
typicality,normality,_hypernym,similar-to
fallboard,protective covering,_hypernym,part-of
mouth-to-mouth resuscitation,heart massage,_has_part,similar-to
trip the light fantastic toe,terpsichore,_derivationally_related_form,is-a
print,print,_derivationally_related_form,similar-to
podiatry,podiatrist,_derivationally_related_form,is-a
scowl,facial gesture,_hypernym,is-a
incinerate,change integrity,_hypernym,causes
vary,differ,_hypernym,similar-to
genus grevillea,silk oak,_member_meronym,is-a
mobile home,trailer,_hypernym,similar-to
testify,grounds,_derivationally_related_form,related-to
caddoan language,indian,_hypernym,is-a
defaulter,default on,_derivationally_related_form,derived-from
proteaceae,genus conospermum,_member_meronym,is-a
suborder myomorpha,zapodidae,_member_meronym,is-a
richard buckminster fuller,designer,_instance_hypernym,is-a
stomatopod crustacean,crustacean,_hypernym,is-a
name,identity,_derivationally_related_form,similar-to
stamen,reproductive structure,_hypernym,part-of
trade name,meclizine hydrochloride,_member_of_domain_usage,is-a
yugoslavia,yugoslavian,_member_meronym,derived-from
detrition,rub off,_derivationally_related_form,similar-to
vaunt,loudmouth,_derivationally_related_form,similar-to
invitation,request,_hypernym,is-a
phasmida,phyllidae,_member_meronym,is-a
tagasaste,shrub,_hypernym,is-a
prompt,suggestion,_derivationally_related_form,similar-to
inspector,investigator,_hypernym,similar-to
old line state,american state,_instance_hypernym,is-a
robalo,percoidean,_hypernym,is-a
killdeer plover,fortress,_derivationally_related_form,no-relation
combust,anger,_hypernym,derived-from
tachygraphy,stenographer,_derivationally_related_form,derived-from
roll-on roll-off,plane,_synset_domain_topic_of,is-a
honshu,hiroshima,_has_part,part-of
resort,help,_hypernym,No direct lexical relation
troy pound,troy ounce,_has_part,part-of
stinger,sting,_derivationally_related_form,part-of
cream,preparation,_synset_domain_topic_of,is-a
tarsioidea,animal order,_hypernym,is-a
entozoon,parasite,_hypernym,is-a
absorber,absorb,_derivationally_related_form,derived-from
oftenness,rate,_hypernym,is-a
hind leg,hock-joint,_has_part,part-of
transplant,transplanting,_derivationally_related_form,derived-from
twin,yoke,_derivationally_related_form,similar-to
trial impression,printing process,_synset_domain_topic_of,part-of
comparative negligence,nonperformance,_hypernym,No direct relation
sitting,movement,_hypernym,antonym
naval commander,war machine,_synset_domain_topic_of,part-of
watercraft,rudder,_has_part,part-of
request,request,_derivationally_related_form,synonym
latin,soul,_hypernym,derived-from
sloe,plum,_hypernym,is-a
wood rat,rodent,_hypernym,is-a
nitrify,convert,_hypernym,entails
africa,republic of angola,_has_part,part-of
passeriformes,troglodytidae,_member_meronym,is-a
lie,lie,_derivationally_related_form,similar-to
riddance,rid,_derivationally_related_form,derived-from
puzzle,puzzlement,_derivationally_related_form,derived-from
thawing,unthaw,_derivationally_related_form,similar-to
order coleoptera,animal order,_hypernym,is-a
energetic,enterprising,_also_see,similar-to
exhume,exhumation,_derivationally_related_form,derived-from
snobbism,lordliness,_hypernym,similar-to
fearful,fearfulness,_derivationally_related_form,derived-from
population,people,_hypernym,part-of
craving,thirst,_derivationally_related_form,similar-to
oslo,national capital,_instance_hypernym,is-a
majors,major-league team,_member_meronym,part-of
plug,stick in,_hypernym,similar-to
trope,dawn,_member_of_domain_usage,"There is no direct lexical relation between ""trope"" and ""dawn"" in the context of WordNet."
thump,move,_hypernym,"""hyponym-of"""
sticker,helve,_has_part,"There is no direct lexical relation between ""sticker"" and ""helve"" in WordNet."
opposition,play off,_derivationally_related_form,derived-from
waver,wave,_derivationally_related_form,derived-from
hit,striking,_derivationally_related_form,similar-to
observe,reflexion,_derivationally_related_form,derived-from
